"_id","close","closeTime","high","low","open","quoteAssetVolume","takerBuyBaseVolume","takerBuyQuoteVolume","trades","updatedAtLocal","volume"
"1751698800000","108053.46000000","1751702399999","108270.82000000","108000.99000000","108270.82000000","17043127.55269930","36.29429000","3923505.05943280","27942","2025-07-20T14:15:43.357Z","157.65432000"
"1751702400000","108029.97000000","1751705999999","108125.37000000","107922.80000000","108053.46000000","15170840.87453010","51.84522000","5600921.78742640","30465","2025-07-20T14:15:43.357Z","140.43625000"
"1751706000000","108078.06000000","1751709599999","108123.62000000","107870.42000000","108029.96000000","19913508.76157330","56.40599000","6091148.99455750","37185","2025-07-20T14:15:43.357Z","184.41899000"
"1751709600000","108085.23000000","1751713199999","108216.22000000","108053.30000000","108078.07000000","20516955.72568830","82.07897000","8875769.47499050","26010","2025-07-20T14:15:43.357Z","189.72643000"
"1751713200000","108112.21000000","1751716799999","108219.19000000","108085.23000000","108085.24000000","17392330.02951330","70.12241000","7585051.34863390","21330","2025-07-20T14:15:43.357Z","160.79807000"
"1751716800000","108148.57000000","1751720399999","108152.95000000","107971.00000000","108112.20000000","10180573.48623040","35.81040000","3868985.87652220","31698","2025-07-20T14:15:43.357Z","94.22384000"
"1751720400000","108125.99000000","1751723999999","108232.29000000","108100.44000000","108148.56000000","18433339.64384280","59.15807000","6398501.28679010","34193","2025-07-20T14:15:43.357Z","170.43426000"
"1751724000000","108193.23000000","1751727599999","108223.22000000","108103.84000000","108126.00000000","15188983.08061470","96.51013000","10440159.83636110","28312","2025-07-20T14:15:43.357Z","140.40955000"
"1751727600000","108058.00000000","1751731199999","108193.24000000","108047.42000000","108193.23000000","17233453.58494470","96.12047000","10391273.29518730","21419","2025-07-20T14:15:43.357Z","159.40315000"
"1751731200000","108101.99000000","1751734799999","108112.80000000","107864.75000000","108058.00000000","23412467.07566470","106.47633000","11497414.69900930","37549","2025-07-20T14:15:43.357Z","216.80310000"
"1751734800000","108090.08000000","1751738399999","108159.00000000","107941.00000000","108101.99000000","13849925.53420650","77.16064000","8336848.34998490","31936","2025-07-20T14:15:43.357Z","128.19149000"
"1751738400000","108010.00000000","1751741999999","108098.00000000","107965.51000000","108090.08000000","13063536.17647830","58.82371000","6353322.85486010","23495","2025-07-20T14:15:43.357Z","120.94520000"
"1751742000000","108141.78000000","1751745599999","108167.23000000","107953.03000000","108010.01000000","12993685.04763340","61.25879000","6619617.52214170","20074","2025-07-20T14:15:43.357Z","120.25631000"
"1751745600000","108096.75000000","1751749199999","108159.39000000","107993.39000000","108141.78000000","10791396.38326310","31.95369000","3452773.15512080","22392","2025-07-20T14:15:43.357Z","99.85777000"
"1751749200000","108090.00000000","1751752799999","108140.00000000","108061.53000000","108096.74000000","9056699.73311920","39.55490000","4276090.30462770","25494","2025-07-20T14:15:43.357Z","83.77406000"
"1751752800000","108188.47000000","1751756399999","108200.00000000","108048.25000000","108089.99000000","9947891.91111010","46.57084000","5036215.15490970","23362","2025-07-20T14:15:43.357Z","91.98951000"
"1751756400000","108198.12000000","1751759999999","108250.00000000","108181.61000000","108188.46000000","22566970.08149260","155.45862000","16823010.57822470","15857","2025-07-20T14:15:43.357Z","208.53945000"
"1751760000000","108206.99000000","1751763599999","108250.00000000","108112.96000000","108198.12000000","9717071.46761720","40.04030000","4331828.64764730","20895","2025-07-20T14:15:43.357Z","89.82019000"
